image_location,ground_truth_caption,llm_question
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000235464.jpg,The person is at the right side of the refrigerator.,"""Where is the person in relation to the refrigerator?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000196307.jpg,The cat is facing the sink.,"""What direction is the cat facing?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000497628.jpg,The couch is in front of the bed.,"""What is the relationship between the couch and the bed?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000539259.jpg,The car is behind the person.,"""Where is the car relative to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000264568.jpg,The oven is at the left side of the person.,"""Where is the oven relative to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000239452.jpg,The bowl is above the toilet.,"""Where is the bowl relative to the toilet?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000001139.jpg,The umbrella contains the cat.,"""What is the spatial relationship between the umbrella and the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000130088.jpg,The person is touching the orange.,"""What is the relationship between the person and the orange?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000365387.jpg,The toilet is across from the bed.,"""What is the toilet's location relative to the bed?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000213579.jpg,The person is away from the cake.,"""Where is the person relative to the cake?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000296471.jpg,The cat is next to the refrigerator.,"""Where is the cat in relation to the refrigerator?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000393542.jpg,The teddy bear is on top of the bicycle.,"""Where is the teddy bear relative to the bicycle?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000112845.jpg,The giraffe is far away from the elephant.,"""What is the spatial relationship between the giraffe and the elephant?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000422886.jpg,The hot dog is in the person.,"""What is the location of the hot dog relative to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000250951.jpg,The cat is facing the handbag.,"""Which direction is the cat facing?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000386580.jpg,The tv is in front of the person.,"""Where is the tv relative to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000473250.jpg,The person is under the umbrella.,"""Where is the person relative to the umbrella?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000127654.jpg,The teddy bear is facing the book.,"""Which direction is the teddy bear facing?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000467037.jpg,The apple is at the right side of the banana.,"""Where is the apple in relation to the banana?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000401144.jpg,The keyboard is at the edge of the dining table.,"""What is the position of the keyboard relative to the dining table?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000167802.jpg,The cat is touching the cake.,"""How is the cat related to the cake?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000213135.jpg,The hot dog is touching the person.,"""What is the relationship between the hot dog and the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000068953.jpg,The dining table is touching the umbrella.,"""Where is the dining table in relation to the umbrella?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000148677.jpg,The cat is on the suitcase.,"""Where is the cat in relation to the suitcase?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000022501.jpg,The oven contains the pizza.,"""Where is the pizza in relation to the oven?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000164657.jpg,The suitcase is attached to the motorcycle.,"""How is the suitcase related to the motorcycle?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000540774.jpg,The dog is facing away from the truck.,"""What direction is the dog facing relative to the truck?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000071136.jpg,The pizza is on the dining table.,"""Where is the pizza?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000059683.jpg,The suitcase contains the cat.,"""Where is the cat in relation to the suitcase?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000241904.jpg,The hot dog is touching the person.,"""What is the relationship between the hot dog and the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000204272.jpg,The surfboard is next to the bed.,"""Where is the surfboard in relation to the bed?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000127967.jpg,The elephant is on the truck.,"""Where is the elephant?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000133634.jpg,The sandwich is at the edge of the dining table.,"""Where is the sandwich in relation to the dining table?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000469499.jpg,The person is toward the horse.,"""Where is the person relative to the horse?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000323717.jpg,The laptop is under the cat.,"""Where is the laptop relative to the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000320089.jpg,The dining table is beneath the cat.,"""What is the relationship between the dining table and the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000382081.jpg,The cow is facing the person.,"""Which direction is the cow facing relative to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000531983.jpg,The bed is away from the cat.,"""What is the position of the bed relative to the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000390518.jpg,The cat is on the bench.,"""Where is the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000004011.jpg,The person is left of the cake.,"""Where is the person in relation to the cake?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000285180.jpg,The cat is touching the person.,"""Where is the cat in relation to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000465695.jpg,The suitcase is on the bed.,"""What is the suitcase's relationship to the bed?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000454637.jpg,The person is with the scissors.,"""Where are the scissors in relation to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000219492.jpg,The cat is facing away from the sink.,"""Which direction is the cat facing relative to the sink?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000456422.jpg,The teddy bear is attached to the suitcase.,"""Where is the teddy bear in relation to the suitcase?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000073197.jpg,The person is against the bear.,"""What is the position of the person relative to the bear?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000375140.jpg,The dog is inside the suitcase.,"""Where is the dog in relation to the suitcase?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000030062.jpg,The person is touching the laptop.,"""What is the relationship between the person and the laptop?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000137507.jpg,The cat is touching the couch.,"""Where is the cat in relation to the couch?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000320918.jpg,The person is facing away from the banana.,"""Which direction is the person facing relative to the banana?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000333748.jpg,The dining table is below the bird.,"""Where is the dining table relative to the bird?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000026733.jpg,The cat is on the laptop.,"""What is the cat's relationship to the laptop?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000355736.jpg,The person is on top of the cake.,"""What is the spatial relationship between the person and the cake?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000166631.jpg,The truck is far away from the elephant.,"""Where is the truck relative to the elephant?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000581422.jpg,The cow is beside the bench.,"""Where is the cow in relation to the bench?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000269417.jpg,The dog is facing the oven.,"""What direction is the dog facing?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000172163.jpg,The cat is touching the banana.,"""Where is the cat in relation to the banana?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000092686.jpg,The person is in front of the dining table.,"""Where is the person relative to the dining table?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000323243.jpg,The cat is in the suitcase.,"""Where is the cat in relation to the suitcase?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000435205.jpg,The teddy bear is touching the person.,"""How is the teddy bear positioned in relation to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000473720.jpg,The dog is facing away from the pizza.,"""What direction is the dog facing relative to the pizza?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000419443.jpg,The teddy bear is next to the book.,"""Where is the teddy bear relative to the book?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000130183.jpg,The cat is by the laptop.,"""What is the cat's location relative to the laptop?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000520694.jpg,The suitcase is under the cat.,"""Where is the suitcase relative to the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000291822.jpg,The umbrella is above the cat.,"""Where is the umbrella relative to the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000469770.jpg,The parking meter is beyond the motorcycle.,"""Where is the parking meter relative to the motorcycle?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000268394.jpg,The truck is part of the cake.,"""What is the relationship between the truck and the cake?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000499656.jpg,The book is in front of the cat.,"""Where is the book relative to the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000203128.jpg,The bed is connected to the couch.,"""How is the bed connected to the couch?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000092115.jpg,The bicycle is part of the train.,"""How is the bicycle related to the train?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000207090.jpg,The person is at the left side of the bed.,"""Where is the person relative to the bed?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000099372.jpg,The bird is facing the laptop.,"""What direction is the bird facing in relation to the laptop?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000045481.jpg,The fire hydrant is next to the truck.,"""Where is the fire hydrant relative to the truck?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000347884.jpg,The person is at the right side of the refrigerator.,"""Where is the person relative to the refrigerator?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000484173.jpg,The suitcase contains the cat.,"""Where is the cat in relation to the suitcase?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000446958.jpg,The cake is under the teddy bear.,"""Where is the cake relative to the teddy bear?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000032957.jpg,The teddy bear is at the right side of the bench.,"""Where is the teddy bear in relation to the bench?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000494785.jpg,The pizza is across from the person.,"""Where is the pizza relative to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000005142.jpg,The bed is beneath the suitcase.,"""Where is the bed relative to the suitcase?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000396039.jpg,The cat is touching the tv.,"""Where is the cat in relation to the tv?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000474721.jpg,The giraffe is close to the person.,"""How close is the giraffe to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000550356.jpg,The cow is in front of the bus.,"""What is the cow's position relative to the bus?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000319061.jpg,The hot dog is on the bench.,"""Where is the hot dog relative to the bench?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000574000.jpg,The cat is facing the dog.,"""What direction is the cat facing relative to the dog?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000011222.jpg,The chair is beneath the teddy bear.,"""Where is the chair relative to the teddy bear?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000307884.jpg,The refrigerator is facing the dining table.,"""What is the orientation of the refrigerator relative to the dining table?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000193031.jpg,The oven is next to the pizza.,"""Where is the oven relative to the pizza?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000166848.jpg,The tv is behind the person.,"""Where is the tv relative to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000162427.jpg,The laptop is right of the cat.,"""Where is the laptop relative to the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000447016.jpg,The hot dog is touching the person.,"""What is the relationship between the hot dog and the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000209263.jpg,The hot dog is off the dining table.,"""Where is the hot dog relative to the dining table?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000459935.jpg,The refrigerator is at the right side of the person.,"""Where is the refrigerator relative to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000320600.jpg,The cat is inside the handbag.,"""Where is the cat relative to the handbag?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000480656.jpg,The teddy bear is at the right side of the dog.,"""Where is the teddy bear relative to the dog?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000147591.jpg,The dining table is below the bowl.,"""Where is the dining table relative to the bowl?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000499979.jpg,The cake is at the left side of the person.,"""Where is the cake relative to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000164698.jpg,The bench is surrounding the horse.,"""Where is the bench relative to the horse?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000259819.jpg,The suitcase contains the cat.,"""What is the relationship between the suitcase and the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000066976.jpg,The dog is in the middle of the couch.,"""Where is the dog in relation to the couch?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000045188.jpg,The car is part of the cake.,"""What is the relationship between the car and the cake?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000533800.jpg,The bowl is at the left side of the person.,"""Where is the bowl in relation to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000262495.jpg,The person is touching the refrigerator.,"""Where is the person in relation to the refrigerator?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000526295.jpg,The teddy bear is under the dog.,"""Where is the teddy bear relative to the dog?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000113271.jpg,The donut is in front of the backpack.,"""What is the position of the donut relative to the backpack?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000339916.jpg,The handbag contains the laptop.,"""What is the relationship between the handbag and the laptop?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000357354.jpg,The car is at the right side of the elephant.,"""Where is the car relative to the elephant?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000473774.jpg,The person is behind the sandwich.,"""Where is the person relative to the sandwich?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000029128.jpg,The bicycle is over the cat.,"""Where is the bicycle relative to the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000071090.jpg,The teddy bear is touching the cat.,"""What is the relationship between the teddy bear and the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000525155.jpg,The sheep is on top of the person.,"""Where is the sheep relative to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000347995.jpg,The dog is in the middle of the bed.,"""Where is the dog in relation to the bed?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000459576.jpg,The person is touching the hot dog.,"""What is the relationship between the person and the hot dog?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000299593.jpg,The bus is in front of the traffic light.,"""What is the position of the bus relative to the traffic light?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000484929.jpg,The parking meter is touching the person.,"""What is the relationship between the parking meter and the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000337087.jpg,The truck is parallel to the motorcycle.,"""What is the orientation of the truck relative to the motorcycle?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000579466.jpg,The person is touching the couch.,"""What is the relationship between the person and the couch?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000039502.jpg,The refrigerator is far away from the truck.,"""How far away is the refrigerator from the truck?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000318209.jpg,The refrigerator is far away from the sandwich.,"""How far is the refrigerator from the sandwich?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000394271.jpg,The teddy bear is out of the couch.,"""Where is the teddy bear in relation to the couch?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000402569.jpg,The sandwich is at the side of the dining table.,"""Where is the sandwich in relation to the dining table?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000536248.jpg,The apple is in front of the bird.,"""What is the spatial relationship between the apple and the bird?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000253004.jpg,The laptop is under the train.,"""Where is the laptop relative to the train?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000511436.jpg,The cake is next to the bowl.,"""What is the spatial relationship between the cake and the bowl?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000114421.jpg,The bed is off the umbrella.,"""What is the location of the bed relative to the umbrella?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000429717.jpg,The person is on the bed.,"""What is the person's position relative to the bed?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000073016.jpg,The giraffe is behind the elephant.,"""Where is the giraffe relative to the elephant?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000127556.jpg,The cat is below the donut.,"""Where is the cat relative to the donut?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000126870.jpg,The laptop is at the left side of the dining table.,"""Where is the laptop in relation to the dining table?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000490117.jpg,The cake contains the cat.,"""What is the spatial relationship between the cake and the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000567205.jpg,The parking meter is in front of the person.,"""Where is the parking meter relative to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000307172.jpg,The person is touching the pizza.,"""How is the person related to the pizza?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000552775.jpg,The bowl is on top of the oven.,"""Where is the bowl relative to the oven?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000469728.jpg,The bus is far away from the bicycle.,"""Where is the bus relative to the bicycle?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000240798.jpg,The banana is outside the bowl.,"""Where is the banana relative to the bowl?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000111188.jpg,The person is beneath the teddy bear.,"""Where is the person relative to the teddy bear?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000179392.jpg,The tv is behind the cat.,"""Where is the tv relative to the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000296205.jpg,The person is on the couch.,"""What is the person's location on?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000121647.jpg,The book is at the left side of the wine glass.,"""Where is the book in relation to the wine glass?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000203673.jpg,The apple is on the laptop.,"""Where is the apple in relation to the laptop?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000444755.jpg,The person is touching the dog.,"""What is the relationship between the person and the dog?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000174496.jpg,The toaster contains the pizza.,"""Where is the pizza in relation to the toaster?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000517049.jpg,The dining table is in front of the person.,"""What is the position of the dining table relative to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000524059.jpg,The elephant is below the person.,"""Where is the elephant relative to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000121530.jpg,The suitcase is far from the refrigerator.,"""Where is the suitcase in relation to the refrigerator?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000495055.jpg,The suitcase is touching the person.,"""What is the relationship between the suitcase and the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000415594.jpg,The pizza is in the oven.,"""Where is the pizza?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000376701.jpg,The person is touching the elephant.,"""What is the relationship between the person and the elephant?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000014988.jpg,The bus is close to the book.,"""Where is the bus relative to the book?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000197236.jpg,The tv is at the right side of the cat.,"""Where is the TV relative to the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000281660.jpg,The chair is on the train.,"""What is the chair's location relative to the train?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000045071.jpg,The cat is on top of the suitcase.,"""Where is the cat relative to the suitcase?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000381555.jpg,The suitcase is away from the cat.,"""What is the spatial relationship between the suitcase and the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000325587.jpg,The dog is off the couch.,"""Where is the dog relative to the couch?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000002337.jpg,The dog is on the motorcycle.,"""What is the position of the dog?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000338200.jpg,The teddy bear is on top of the bench.,"""What is the relationship of the teddy bear to the bench?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000111347.jpg,The dining table is behind the person.,"""Where is the dining table relative to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000139429.jpg,The bench is behind the hot dog.,"""Where is the bench relative to the hot dog?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000522579.jpg,The motorcycle is in front of the bus.,"""Where is the motorcycle relative to the bus?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000047566.jpg,The sheep is beneath the person.,"""Where is the sheep relative to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000393641.jpg,The car is facing away from the horse.,"""What direction is the car facing relative to the horse?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000011742.jpg,The wine glass is in front of the cake.,"""What is the position of the wine glass relative to the cake?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000073353.jpg,The pizza is across from the tv.,"""Where is the pizza relative to the tv?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000391786.jpg,The laptop is at the left side of the bowl.,"""Where is the laptop in relation to the bowl?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000423858.jpg,The teddy bear is off the bed.,"""What is the location of the teddy bear relative to the bed?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000369249.jpg,The airplane is on the dining table.,"""What is the relationship between the airplane and the dining table?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000279024.jpg,The truck is far from the toilet.,"""How is the truck positioned relative to the toilet?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000100564.jpg,The pizza is in front of the microwave.,"""Where is the pizza relative to the microwave?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000123552.jpg,The bicycle is touching the bus.,"""What is the relationship between the bicycle and the bus?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000487774.jpg,The mouse is at the right side of the keyboard.,"""Where is the mouse in relation to the keyboard?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000284758.jpg,The person is on the tv.,"""Where is the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000486501.jpg,The sink is surrounding the cat.,"""Where is the sink relative to the cat?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000398604.jpg,The dining table is beneath the hot dog.,"""Where is the dining table relative to the hot dog?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000422026.jpg,The broccoli is on the oven.,"""Where is the broccoli in relation to the oven?"""
